mendel@tpu-board:/var/lib/dpkg/info$ pip3 list
Package                Version       Location
---------------------- ------------- --------------------
absl-py                0.12.0
certifi                2018.8.24
chardet                3.0.4
cycler                 0.10.0
Cython                 0.29.23
darkflow               1.0.0         /mnt/mendel/darkflow
distro-info            0.21
edgetpuvision          7.0
flatbuffers            2.0
h5py                   2.8.0
httplib2               0.11.3
idna                   2.6
kiwisolver             1.3.1
mean-average-precision 2021.4.26.0
netifaces              0.10.4
numpy                  1.16.5
pandas                 0.23.3+dfsg
Pillow                 5.4.1
pip                    18.1
protobuf               3.6.1
pycairo                1.16.2
pycoral                1.0.1
pycurl                 7.43.0.2
PyGObject              3.30.4
PyJWT                  1.7.0
PyOpenGL               3.1.0
pyserial               3.4
PySimpleSOAP           1.16.2
python-apt             1.8.4.3
python-dateutil        2.8.1
python-debian          0.1.35
python-debianbts       2.8.2
pytz                   2021.1
reportbug              7.5.3-deb10u1
requests               2.21.0
setuptools             40.8.0
six                    1.12.0
src                    0.1.0
style                  1.1.0
tflite                 2.4.0
tflite-runtime         2.1.0.post1
unattended-upgrades    0.1
update                 0.0.1
urllib3                1.24.1
vitalsd                1.0
wheel                  0.32.3
