Edge TPU Compiler version 15.0.340273435
Input: yolov4-tiny-relu-new_coords-int8.tflite
Output: yolov4-tiny-relu-new_coords-int8_edgetpu.tflite

Operator                       Count      Status

MAX_POOL_2D                    3          Mapped to Edge TPU
SPLIT                          3          Mapped to Edge TPU
QUANTIZE                       1          More than one subgraph is not supported
QUANTIZE                       7          Mapped to Edge TPU
DEQUANTIZE                     2          Operation is working on an unsupported data type
CONV_2D                        2          More than one subgraph is not supported
CONV_2D                        19         Mapped to Edge TPU
RESIZE_BILINEAR                1          Operation version not supported
LOGISTIC                       1          More than one subgraph is not supported
LOGISTIC                       1          Mapped to Edge TPU
CONCATENATION                  6          Mapped to Edge TPU
CONCATENATION                  1          More than one subgraph is not supported
PAD                            2          Mapped to Edge TPU
